video_id,language,age_0_9,age_10s,age_20s,age_30s,age_40s,age_50plus,gender_male,gender_female
QEKT7S0lrxw,ko,0.0,0.05,0.3,0.35,0.25,0.05,0.6,0.4
JxEEBrz8zN4,ko,0.0,0.01,0.05,0.2,0.3,0.44,0.4,0.6
p3b1vcy8_IQ,ko,0.0,0.05,0.15,0.3,0.3,0.2,0.8,0.2
OQg448_FCds,ko,0.0,0.05,0.3,0.4,0.15,0.1,0.4,0.6
jff32kQeNWo,ko,0.05,0.2,0.4,0.25,0.05,0.05,0.4,0.6
BTnZAMJYZ6g,ko,0.0,0.1,0.5,0.3,0.1,0.0,0.2,0.8
n4VFE7y_5gQ,ko,0.1,0.7,0.15,0.03,0.01,0.01,0.45,0.55
PeRUaTVoTJ4,ko,0.0,0.0,0.1,0.2,0.3,0.4,0.2,0.8
VOxFIXQ6lI0,ko,0.0,0.3,0.5,0.2,0.0,0.0,0.8,0.2
UXosb_TubZ4,ko,0.05,0.1,0.15,0.2,0.25,0.25,0.5,0.5
44Qfp9sp_U8,ko,0.0,0.05,0.1,0.2,0.35,0.3,0.3,0.7
Jd7_YO85Vck,ko,0.0,0.05,0.15,0.25,0.3,0.25,0.4,0.6
d4e80h2xvyc,ko,0.0,0.0,0.05,0.1,0.25,0.6,0.3,0.7
vw_a7xSKExg,ko,0.0,0.05,0.15,0.35,0.3,0.15,0.4,0.6
ZwjoL-TvOX8,ko,0.1,0.6,0.25,0.03,0.01,0.01,0.65,0.35
hTKA4wimQtA,ko,0.0,0.05,0.2,0.35,0.25,0.15,0.6,0.4
LyuZhmQPzLU,ko,0.1,0.7,0.15,0.03,0.01,0.01,0.5,0.5
FZSAwjH2luw,ko,0.3,0.5,0.2,0.0,0.0,0.0,0.4,0.6
wcTNReNy2T0,ko,0.1,0.15,0.35,0.25,0.1,0.05,0.7,0.3
g6hA2tM73Js,ko,0.0,0.3,0.4,0.2,0.1,0.0,0.4,0.6
JGihzK_g0P4,ko,0,0,0,0,0,0,0,0
IaRvR6uy8Gg,ko,0.3,0.5,0.15,0.04,0.01,0.0,0.6,0.4
1KjWqrrpN5g,ko,0.05,0.35,0.4,0.15,0.03,0.02,0.4,0.6
dbFqyWOOS3w,ko,0.1,0.5,0.3,0.05,0.03,0.02,0.7,0.3
3V3x8Je2J-4,ko,0.05,0.3,0.4,0.15,0.07,0.03,0.4,0.6
rbOOW1y_tcc,ko,0.0,0.05,0.1,0.15,0.2,0.5,0.3,0.7
I844bsG-EKE,ko,0.05,0.15,0.35,0.3,0.1,0.05,0.4,0.6
vC8EVirfuMM,Polish (auto-generated),0.2,0.3,0.3,0.1,0.05,0.05,0.5,0.5
Mc2AL0AqLgA,ko,0.0,0.1,0.5,0.3,0.1,0.0,0.3,0.7
eO8Heu1W-Dg,ko,0,0,0,0,0,0,0,0
Wvl4NtHyvwM,ko,0.05,0.4,0.35,0.15,0.03,0.02,0.6,0.4
1TTnyGJpoZE,ko,0.55,0.35,0.05,0.03,0.01,0.01,0.45,0.55
toxJgLnYya4,ko,0.0,0.1,0.2,0.3,0.3,0.1,0.3,0.7
AGO_fnsgwBc,ko,0.01,0.05,0.15,0.3,0.25,0.24,0.4,0.6
7hjq0kKq8XQ,ko,0.0,0.1,0.5,0.3,0.1,0.0,0.3,0.7
k1C8MzxoMcE,ko,0.05,0.35,0.4,0.15,0.03,0.02,0.3,0.7
3x1Zuqs2Pu0,ko,0.05,0.35,0.4,0.15,0.03,0.02,0.4,0.6
gTdzS3Z7FMA,ko,0,0,0,0,0,0,0,0
a4oHFKrMZQg,ko,0.0,0.7,0.25,0.05,0.0,0.0,0.4,0.6
1oUeGPnSLDs,ko,0.05,0.1,0.25,0.3,0.2,0.1,0.4,0.6
hbEU6eemAMg,ko,0.05,0.1,0.4,0.3,0.1,0.05,0.6,0.4
xQL-vpfi9WU,ko,0.0,0.1,0.3,0.4,0.15,0.05,0.7,0.3
KAXSEtt7YiE,ko,0.0,0.1,0.4,0.3,0.15,0.05,0.5,0.5
qlrpeYdm9Ec,ko,0.05,0.3,0.4,0.15,0.05,0.05,0.6,0.4
zI2UviTLoi4,ko,0.05,0.1,0.15,0.25,0.3,0.15,0.4,0.6
oeTNvp0pSH8,ko,0.05,0.1,0.15,0.25,0.3,0.15,0.5,0.5
Zu1L8XgCp1k,ko,0.0,0.05,0.15,0.25,0.35,0.2,0.4,0.6
8tGnN65ZS_Y,ko,0.0,0.0,0.1,0.2,0.3,0.4,0.4,0.6
3sFqOt0sGKk,ko,0.0,0.1,0.3,0.4,0.1,0.1,0.4,0.6
xz0Tbmu5N2o,ko,0.05,0.1,0.25,0.3,0.2,0.1,0.4,0.6
4-bNoHb1zko,ko,0.05,0.5,0.35,0.07,0.02,0.01,0.4,0.6
f5aCpfHLaYM,ko,0,0.1,0.2,0.4,0.2,0.1,0.3,0.7
QOHBTK23LhE,ko,0.0,0.05,0.2,0.35,0.3,0.1,0.7,0.3
rUsvPEHskKI,ko,0.02,0.05,0.1,0.25,0.3,0.28,0.8,0.2
d9a2Ye6lB9A,ko,0.0,0.05,0.25,0.35,0.25,0.1,0.6,0.4
Z_99ttWKpMI,ko,0.0,0.05,0.15,0.45,0.25,0.1,0.8,0.2
pembuoh6R9A,ko,0.0,0.1,0.6,0.2,0.1,0.0,0.7,0.3
9AU4yhO-JHQ,ko,0.05,0.7,0.2,0.03,0.01,0.01,0.8,0.2
YFVjIIpPyS0,ko,0,0.05,0.15,0.5,0.2,0.1,0.3,0.7
jkQ0efyGC6Y,ko,0.0,0.05,0.2,0.3,0.3,0.15,0.3,0.7
IzxY21l9luU,ko,0.0,0.05,0.15,0.3,0.25,0.25,0.6,0.4
v-TzO8d6BEM,ko,0.05,0.4,0.4,0.1,0.03,0.02,0.6,0.4
HroVZ-Hafp8,ko,0,0.1,0.4,0.4,0.1,0,0.7,0.3
EtilLIaYHB8,ko,0,0.3,0.5,0.15,0.04,0.01,0.3,0.7
cnCrE161CsQ,ko,0.05,0.3,0.4,0.2,0.03,0.02,0.3,0.7
vdjV8cMb21c,ko,0.05,0.15,0.3,0.3,0.15,0.05,0.4,0.6
8G-HEyNcdZU,ko,0.0,0.0,0.05,0.1,0.35,0.5,0.3,0.7
J7bLzFk5S30,ko,0.0,0.0,0.0,0.1,0.2,0.7,0.3,0.7
sIi2Aq6SZME,ko,0.05,0.2,0.35,0.25,0.1,0.05,0.6,0.4
FF6lv96YEgc,ko,0.05,0.4,0.4,0.1,0.03,0.02,0.4,0.6
w9ueUb7REtA,ko,0.05,0.25,0.4,0.2,0.05,0.05,0.3,0.7
asuNr4vAQCM,ko,0.0,0.0,0.05,0.1,0.2,0.65,0.35,0.65
N-qDh6AVJGo,ko,0.05,0.1,0.15,0.25,0.3,0.15,0.4,0.6
MezvFK_r-MI,ko,0.05,0.1,0.6,0.15,0.05,0.05,0.3,0.7
QaSoPiFYBZ4,ko,0,0.1,0.4,0.3,0.15,0.05,0.4,0.6
nof2C9BtT2I,ko,0,0,0,0,0,0,0,0
ETGI8KJOZAs,ko,0.0,0.0,0.1,0.2,0.3,0.4,0.3,0.7
P9IMZMxJASM,ko,0.0,0.05,0.1,0.25,0.35,0.25,0.3,0.7
7hnlrjv5CWY,ko,0.0,0.3,0.5,0.2,0.0,0.0,0.7,0.3
IS94Q9RQXhI,ko,0.0,0.0,0.7,0.3,0.0,0.0,0.2,0.8
p41lsbn8UeE,ko,0.05,0.1,0.25,0.3,0.2,0.1,0.4,0.6
IH9_foi8h_Q,ko,0.0,0.05,0.25,0.35,0.2,0.15,0.3,0.7
K71ILraENXM,ko,0.0,0.05,0.2,0.35,0.25,0.15,0.4,0.6
gihetGlNXuk,ko,0.0,0.15,0.5,0.25,0.1,0.0,0.3,0.7
b4xdHk-KDDs,ko,0.0,0.1,0.4,0.4,0.1,0.0,0.4,0.6
i_dYB1tRYWo,ko,0.0,0.1,0.5,0.3,0.1,0.0,0.4,0.6
ILt4uEAenCw,ko,0.05,0.1,0.15,0.25,0.3,0.15,0.4,0.6
jrNSlbSVQbs,ko,0.02,0.25,0.45,0.2,0.05,0.03,0.4,0.6
LEkxhJILcmA,ko,0.0,0.1,0.4,0.4,0.1,0.0,0.4,0.6
3MtZOoh_6WM,ko,0.05,0.3,0.4,0.15,0.07,0.03,0.6,0.4
HU1oAYTqjzM,ko,0.0,0.05,0.25,0.35,0.25,0.1,0.6,0.4
8672M5Cjn3Q,ko,0.05,0.2,0.4,0.25,0.05,0.05,0.5,0.5
E-KoPBbPmKc,ko,0,0,0,0,0,0,0,0
zw06lF_ZUzs,ko,0.0,0.0,0.05,0.1,0.35,0.5,0.3,0.7
PXucvw6rpoA,ko,0.05,0.15,0.35,0.25,0.15,0.05,0.3,0.7
I6a-O5efEAg,ko,0.0,0.05,0.2,0.4,0.25,0.1,0.6,0.4
vntsSxGzBgQ,ko,0.0,0.05,0.3,0.4,0.2,0.05,0.3,0.7
UXJerxCTLBM,ko,0.05,0.15,0.25,0.3,0.15,0.1,0.3,0.7
fqxohd9Lrlw,ko,0.0,0.05,0.15,0.3,0.3,0.2,0.6,0.4
qwfT2H3NVJk,ko,0.0,0.05,0.2,0.4,0.25,0.1,0.4,0.6
K5HXfDSd4k8,ko,0.05,0.1,0.35,0.3,0.15,0.05,0.4,0.6
j_AhUu_KNVM,ko,0.05,0.7,0.2,0.03,0.01,0.01,0.6,0.4
fiv4mLJTVMM,ko,0.05,0.1,0.55,0.2,0.07,0.03,0.45,0.55
hHdKug_wQkU,ko,0.05,0.6,0.3,0.05,0,0,0.65,0.35
2dQZRefi65Q,ko,0.0,0.02,0.3,0.4,0.2,0.08,0.7,0.3
LZ7U5-IZo7o,ko,0.05,0.4,0.35,0.15,0.04,0.01,0.8,0.2
duRQztxA5A8,ko,0.0,0.25,0.5,0.2,0.05,0.0,0.2,0.8
XzuXE1Eh_so,ko,0.0,0.0,0.05,0.15,0.35,0.45,0.4,0.6
IpYHus9KOZo,ko,0.05,0.35,0.4,0.1,0.05,0.05,0.4,0.6
2WGc-5VdoGw,ko,0,0.05,0.25,0.35,0.2,0.15,0.3,0.7
bhix6I7YKbo,ko,0.0,0.1,0.3,0.4,0.15,0.05,0.3,0.7
XyZh1dLnah8,ko,0.0,0.05,0.3,0.4,0.2,0.05,0.5,0.5
vghjTgXbvak,ko,0.0,0.1,0.5,0.3,0.1,0.0,0.8,0.2
UYYZKEc5DSw,ko,0.05,0.15,0.6,0.15,0.03,0.02,0.3,0.7
rbzo6OfrCLE,ko,0.05,0.05,0.7,0.15,0.05,0,0.3,0.7
p5-SmCnsO8w,ko,0.0,0.15,0.45,0.3,0.1,0.0,0.7,0.3
QuS22g7mueI,ko,0.1,0.7,0.15,0.03,0.01,0.01,0.6,0.4
m6qdgfGSC8s,ko,0.01,0.05,0.35,0.4,0.15,0.04,0.3,0.7
TeG-EOWsFOs,ko,0.0,0.05,0.35,0.35,0.15,0.1,0.6,0.4
mw5uRvypxOE,ko,0.05,0.35,0.4,0.15,0.03,0.02,0.2,0.8
IHsR4w0dZwc,ko,0,0,0,0,0,0,0,0
sD_tYU21KxU,ko,0.01,0.05,0.6,0.25,0.06,0.03,0.45,0.55
PwAa4FpoDkY,ko,0.05,0.15,0.35,0.3,0.1,0.05,0.4,0.6
IivYrE2oIVA,ko,0.01,0.03,0.1,0.25,0.35,0.26,0.85,0.15
bPhzsPwcpMA,ko,0.0,0.2,0.5,0.2,0.1,0.0,0.2,0.8
2IRc1Jt_ITE,ko,0.0,0.2,0.5,0.2,0.05,0.05,0.8,0.2
sRk4LeQ9e-g,ko,0.0,0.05,0.25,0.4,0.2,0.1,0.1,0.9
LRXnD8fuNes,ko,0.05,0.6,0.3,0.04,0.01,0,0.6,0.4
SEBrwUFXGe0,ko,0.0,0.05,0.1,0.35,0.35,0.15,0.4,0.6
aG8ZUcikQcE,ko,0.0,0.4,0.5,0.1,0.0,0.0,0.4,0.6
yuTL9uLRZRM,ko,0.01,0.05,0.45,0.4,0.07,0.02,0.3,0.7
XD00TJ-6WSw,ko,0.05,0.7,0.2,0.03,0.01,0.01,0.4,0.6
gFe5Qwhd-UQ,ko,0.0,0.2,0.5,0.2,0.05,0.05,0.6,0.4
4zKW1WYYjKs,ko,0.0,0.05,0.4,0.35,0.15,0.05,0.6,0.4
IPOYeI48Ijc,ko,0.0,0.05,0.2,0.3,0.25,0.2,0.3,0.7
E6OYp9ezJCs,ko,0.0,0.05,0.15,0.4,0.3,0.1,0.3,0.7
cCIXxAvjlYY,ko,0.0,0.05,0.2,0.35,0.25,0.15,0.3,0.7
isj7_scGxI4,ko,0.0,0.2,0.5,0.25,0.05,0.0,0.6,0.4
tfmwbxBKPh0,ko,0.05,0.1,0.2,0.25,0.3,0.1,0.4,0.6
7zi4FexrZTs,ko,0.0,0.05,0.1,0.2,0.4,0.25,0.8,0.2
7UBx2uW0qqI,ko,0.0,0.3,0.5,0.15,0.04,0.01,0.3,0.7
5RSLxafStSo,Spanish (auto-generated),0.05,0.15,0.35,0.25,0.15,0.05,0.3,0.7
QY9x5ZfNWVA,ko,0.4,0.3,0.1,0.1,0.05,0.05,0.6,0.4
ht3IOMoeRTw,ko,0.0,0.1,0.4,0.3,0.15,0.05,0.4,0.6
EJk4P-2Rr40,ko,0.0,0.05,0.3,0.4,0.15,0.1,0.5,0.5
rAVP4PVft5M,ko,0.0,0.05,0.15,0.25,0.35,0.2,0.4,0.6
MJlX4uZsSGU,ko,0,0.1,0.2,0.3,0.3,0.1,0.3,0.7
QBhNg9iZe2Y,ko,0.0,0.05,0.15,0.3,0.3,0.2,0.3,0.7
V_s4rbZTG8Q,ko,0.05,0.2,0.45,0.2,0.07,0.03,0.7,0.3
YQ8I-CXWdi4,ko,0.0,0.1,0.5,0.3,0.1,0.0,0.6,0.4
aNc0OZCpuJo,ko,0.1,0.6,0.2,0.05,0.03,0.02,0.5,0.5
VrpqXbv7xpg,ko,0.0,0.05,0.25,0.35,0.25,0.1,0.4,0.6
rmzNWjqeRP0,ko,0.0,0.05,0.15,0.5,0.2,0.1,0.5,0.5
KuhjlRMwx9Q,ko,0.05,0.4,0.35,0.15,0.03,0.02,0.6,0.4
TF6h2aNnCXc,ko,0.0,0.1,0.2,0.4,0.2,0.1,0.3,0.7
xhTeIHBD8gc,ko,0.05,0.1,0.2,0.4,0.2,0.05,0.6,0.4
nOEqO2Icarg,ko,0.01,0.3,0.5,0.15,0.03,0.01,0.6,0.4
N3FJ0Bhw8BI,ko,0.0,0.05,0.1,0.25,0.3,0.3,0.8,0.2
kaLm0FODV4A,ko,0,0.05,0.15,0.35,0.3,0.15,0.7,0.3
E5CpO3XV1uw,ko,0.0,0.05,0.3,0.4,0.2,0.05,0.6,0.4
RW_zH-Y0WZI,ko,0.0,0.0,0.05,0.15,0.25,0.55,0.4,0.6
Y9Xurt41j_U,ko,0.01,0.1,0.25,0.3,0.2,0.14,0.4,0.6
dURi73d-tEs,ko,0.05,0.1,0.15,0.25,0.3,0.15,0.3,0.7
8h3v050gD_E,ko,0.0,0.7,0.25,0.05,0.0,0.0,0.5,0.5
qE2mZZquJG8,ko,0.01,0.05,0.25,0.35,0.25,0.09,0.4,0.6
7SA0VxbY5M0,ko,0.0,0.05,0.15,0.2,0.25,0.35,0.4,0.6
gWxfKPfBWiY,ko,0.0,0.2,0.5,0.2,0.1,0.0,0.3,0.7
wmonL5ilETc,ko,0,0.2,0.5,0.25,0.05,0,0.4,0.6
BtEw2lfsgFA,ko,0.0,0.35,0.5,0.1,0.03,0.02,0.7,0.3
xMG9tjF5CWM,ko,0.0,0.05,0.25,0.4,0.2,0.1,0.3,0.7
k4zfi89K4VA,ko,0.7,0.2,0.05,0.03,0.02,0.0,0.4,0.6
DdldgrsxWDc,ko,0.0,0.1,0.4,0.3,0.15,0.05,0.3,0.7
930LO-_iY3k,ko,0.0,0.2,0.5,0.2,0.05,0.05,0.3,0.7
Wti9tDfkq_E,ko,0.01,0.4,0.4,0.15,0.03,0.01,0.4,0.6
xf6HYV4epXo,ko,0.0,0.05,0.25,0.4,0.2,0.1,0.3,0.7
9rwYQkM007o,ko,0.0,0.4,0.4,0.15,0.05,0.0,0.8,0.2
mIAjL4b93Ek,ko,0.05,0.15,0.35,0.3,0.1,0.05,0.65,0.35
RZ_DDDUrwqc,ko,0,0,0,0,0,0,0,0
54kw2a2fhHI,ko,0.0,0.05,0.3,0.35,0.2,0.1,0.3,0.7
NNiRFFbEN-Y,ko,0.0,0.1,0.4,0.3,0.15,0.05,0.6,0.4
lQAPHB3twRs,ko,0.0,0.05,0.15,0.5,0.2,0.1,0.3,0.7
4BN3LFyxaaU,ko,0.0,0.05,0.25,0.4,0.2,0.1,0.7,0.3
09pBN7cWZy4,ko,0.0,0.1,0.4,0.3,0.15,0.05,0.3,0.7
V_anGria8_A,ko,0.05,0.65,0.25,0.03,0.01,0.01,0.4,0.6
mjhM70lndrQ,ko,0.0,0.1,0.4,0.3,0.15,0.05,0.4,0.6
n-mfdRcAo8c,ko,0.01,0.15,0.5,0.25,0.06,0.03,0.7,0.3
_q0x32k_Vi8,ko,0.0,0.05,0.1,0.15,0.3,0.4,0.2,0.8
too7HP-QsQ4,ko,0.0,0.05,0.15,0.4,0.3,0.1,0.2,0.8
qExwShSLP3Y,ko,0.0,0.1,0.5,0.3,0.1,0.0,0.3,0.7
wU0qoRj3i0o,ko,0.0,0.1,0.3,0.4,0.15,0.05,0.2,0.8
H8A4YLI-dg4,ko,0.0,0.05,0.5,0.35,0.08,0.02,0.35,0.65
pAitaUukZak,ko,0.0,0.1,0.6,0.2,0.1,0.0,0.3,0.7
ARwDHycL-6Y,ko,0.01,0.05,0.1,0.25,0.35,0.24,0.85,0.15
Wb0wICDkICc,ko,0.05,0.7,0.2,0.03,0.01,0.01,0.4,0.6
TRAhKnE1_1Y,ko,0.0,0.1,0.5,0.3,0.1,0.0,0.3,0.7
Rd8HcEnO1qU,ko,0,0,0,0,0,0,0,0
hU_khETHf6s,ko,0.0,0.05,0.1,0.5,0.25,0.1,0.2,0.8
sWv-FdIZOIA,ko,0.0,0.0,0.0,0.05,0.1,0.85,0.5,0.5
vjxY_qlehPw,ko,0,0,0,0,0,0,0,0
j2VFhtvY0A0,ko,0.05,0.35,0.4,0.15,0.03,0.02,0.4,0.6
Uo8BHh6KmMs,ko,0.0,0.1,0.4,0.4,0.1,0.0,0.4,0.6
oJPDvLKL0CQ,ko,0.05,0.15,0.25,0.35,0.15,0.05,0.4,0.6
lgSJ2zI33MA,ko,0.0,0.05,0.25,0.4,0.2,0.1,0.4,0.6
DU2qPNeh6AU,ko,0.0,0.2,0.5,0.2,0.1,0.0,0.4,0.6
uw4kxzCCWpo,ko,0.05,0.15,0.4,0.25,0.1,0.05,0.7,0.3
HhGXBbV6GcQ,ko,0.0,0.1,0.3,0.4,0.15,0.05,0.8,0.2
EnG8hwAsCKA,ko,0.0,0.15,0.5,0.25,0.1,0.0,0.3,0.7
tF42lsvgEHA,ko,0.0,0.2,0.5,0.2,0.05,0.05,0.4,0.6
0K6p6b06DO4,ko,0.01,0.05,0.2,0.4,0.2,0.14,0.3,0.7
MEciCjMdJiI,ko,0.0,0.1,0.6,0.2,0.1,0.0,0.8,0.2
pSz34AEKx58,ko,0.0,0.05,0.15,0.25,0.3,0.25,0.7,0.3
PXOGHlwh3DI,ko,0.0,0.15,0.5,0.25,0.1,0.0,0.4,0.6
DQmardjKrAg,ko,0.0,0.05,0.15,0.3,0.3,0.2,0.5,0.5
NVXfOwj8mZA,ko,0.05,0.1,0.5,0.3,0.04,0.01,0.4,0.6
TH1ppagtvD4,ko,0.05,0.55,0.35,0.03,0.01,0.01,0.6,0.4
dOK96xLxS5w,ko,0.0,0.05,0.15,0.25,0.3,0.25,0.4,0.6
OR8G1cqp2q0,ko,0.0,0.2,0.6,0.15,0.05,0.0,0.35,0.65
DA5wqsfXTfg,ko,0,0.05,0.15,0.4,0.3,0.1,0.2,0.8
liJxdy8Dzq4,ko,0.0,0.1,0.4,0.3,0.15,0.05,0.6,0.4
tV7mEjQLT48,ko,0.0,0.2,0.5,0.25,0.05,0.0,0.3,0.7
CHxzLiRRdMg,ko,0.0,0.05,0.2,0.4,0.25,0.1,0.7,0.3
87Jor5G_NBs,ko,0.01,0.05,0.35,0.4,0.15,0.04,0.6,0.4
yyiox2536C0,ko,0.0,0.1,0.4,0.3,0.15,0.05,0.6,0.4
QkgJdPjU0QM,ko,0.0,0.4,0.45,0.1,0.03,0.02,0.2,0.8
BVdRkp3I2NY,ko,0.0,0.05,0.5,0.3,0.1,0.05,0.4,0.6
yfqbkYWJTxU,ko,0.0,0.1,0.2,0.4,0.2,0.1,0.3,0.7
p4EQao2bqNI,ko,0.0,0.05,0.15,0.35,0.3,0.15,0.2,0.8
nHoa3HhXZk4,ko,0,0.05,0.15,0.2,0.25,0.35,0.2,0.8
Mk9dJz46nho,ko,0.05,0.2,0.3,0.25,0.15,0.05,0.4,0.6
R8hF8I7AjY4,ko,0.0,0.05,0.1,0.2,0.3,0.35,0.3,0.7
EzK59SbZLEc,ko,0.05,0.1,0.3,0.35,0.15,0.05,0.4,0.6
AQutuQoKT0w,ko,0.0,0.05,0.3,0.4,0.15,0.1,0.7,0.3
PZ-IiAB6eHs,ko,0.0,0.05,0.15,0.25,0.35,0.2,0.4,0.6
3PhX12RsiU0,ko,0.05,0.2,0.45,0.2,0.07,0.03,0.45,0.55
cf5mRYdCMqg,ko,0.05,0.1,0.25,0.35,0.2,0.05,0.1,0.9
PnfeDa2oygY,ko,0,0,0,0,0,0,0,0
wAeOYWftidY,ko,0.0,0.1,0.6,0.2,0.1,0.0,0.2,0.8
Pjdmho2dbBI,ko,0.05,0.6,0.3,0.05,0,0,0.8,0.2
sJj8kX5tAFA,ko,0.7,0.2,0.05,0.02,0.02,0.01,0.5,0.5
ov2-2SczKUk,ko,0.0,0.05,0.25,0.35,0.2,0.15,0.4,0.6
8oP_WseeBjA,ko,0.05,0.15,0.35,0.3,0.1,0.05,0.7,0.3
QbvX5QpRgzU,ko,0.01,0.02,0.07,0.15,0.35,0.4,0.4,0.6
ekr2nIex040,ko,0.05,0.5,0.35,0.05,0.03,0.02,0.3,0.7
c7P7amvry6Q,ko,0.0,0.1,0.15,0.3,0.25,0.2,0.6,0.4
bzL1SGX8C4g,ko,0.0,0.1,0.6,0.2,0.1,0.0,0.2,0.8
OPDWe2Lhbl0,ko,0.0,0.1,0.4,0.3,0.15,0.05,0.3,0.7
RX0HEJf6i44,ko,0,0.1,0.2,0.3,0.25,0.15,0.4,0.6
_VN5JeKlcjA,ko,0.05,0.4,0.35,0.15,0.03,0.02,0.4,0.6
_zqkYVayAWU,ko,0.0,0.1,0.2,0.3,0.3,0.1,0.6,0.4
w5-9bLYDLRU,ko,0.0,0.5,0.4,0.1,0.0,0.0,0.3,0.7
dnQ8Md6fZiw,ko,0.1,0.3,0.4,0.15,0.05,0.0,0.3,0.7
KPFVuGJ4WII,ko,0.05,0.15,0.2,0.25,0.2,0.15,0.4,0.6
NEHO8h9NSN4,ko,0,0.05,0.5,0.3,0.1,0.05,0.3,0.7
AxMmEByZiYQ,ko,0.0,0.1,0.35,0.35,0.15,0.05,0.2,0.8
oejfaPxw61o,ko,0.0,0.05,0.15,0.35,0.3,0.15,0.3,0.7
1PxZT2ZktBQ,ko,0.0,0.1,0.2,0.4,0.2,0.1,0.2,0.8
XD__iZhK4MM,ko,0.0,0.2,0.6,0.15,0.04,0.01,0.4,0.6
JPuRpxLAL6c,ko,0.0,0.05,0.4,0.35,0.15,0.05,0.5,0.5
_5gWm1bwmfQ,ko,0,0,0,0,0,0,0,0
J0LXMmifVtI,ko,0.0,0.05,0.1,0.15,0.35,0.35,0.4,0.6
SjYLtD1gEZ0,ko,0.0,0.05,0.15,0.35,0.25,0.2,0.6,0.4
mj7eit3sBm4,ko,0.0,0.05,0.15,0.3,0.25,0.25,0.6,0.4
ExzbAVY4wts,ko,0.0,0.05,0.25,0.35,0.25,0.1,0.6,0.4
RvP3nUzsjYY,ko,0.05,0.15,0.25,0.25,0.2,0.1,0.5,0.5
DT449gHNCps,ko,0,0.1,0.5,0.3,0.1,0,0.2,0.8
XSrm99OrFIo,ko,0.05,0.3,0.5,0.1,0.03,0.02,0.85,0.15
on1nlgarnpw,ko,0.0,0.0,0.1,0.3,0.4,0.2,0.4,0.6
mUKDmH_VfdM,ko,0.0,0.2,0.5,0.2,0.1,0.0,0.3,0.7
3WdIrvIQRIw,ko,0.0,0.3,0.5,0.2,0.0,0.0,0.4,0.6
aH76JH1HvHU,ko,0.0,0.05,0.15,0.25,0.3,0.25,0.3,0.7
wOLN4aGWRYw,ko,0.0,0.05,0.1,0.2,0.35,0.3,0.4,0.6
3H5b8sBH2TI,ko,0.0,0.0,0.05,0.15,0.3,0.5,0.3,0.7
OTbUOhmkAds,ko,0.01,0.05,0.15,0.4,0.3,0.09,0.8,0.2
BqezBfqva8Y,ko,0.01,0.1,0.15,0.25,0.3,0.19,0.5,0.5
CWwWS80uOv0,ko,0.01,0.15,0.45,0.3,0.06,0.03,0.2,0.8
Og_VN6P-kj0,ko,0.0,0.05,0.3,0.4,0.2,0.05,0.3,0.7
Ufmu1WD2TSk,ko,0.0,0.1,0.2,0.35,0.25,0.1,0.7,0.3
T2UoFb3erBk,ko,0.0,0.05,0.1,0.15,0.25,0.45,0.3,0.7
bKRF5PnyD6Y,ko,0.01,0.4,0.4,0.15,0.03,0.01,0.3,0.7
